datum,ingredient_name,ingredient_amount
2022-01-03,rödlök,20.0
2022-01-03,rödvinssås,40.0
2022-01-03,skinka,45.0
2022-01-03,ströbröd,60.0
2022-01-03,tomat,20.0
2022-01-03,tomatsås,100.0
2022-01-03,vetemjöl,15.0
2022-01-03,vitlökssmör,30.0
2022-01-03,ägg,60.0
2022-01-04,bearnaisesås,105.0
2022-01-04,blomkål,15.0
2022-01-04,champinjoner,120.0
2022-01-04,fläskfile,80.0
2022-01-04,jalapeno,60.0
2022-01-04,kalventrecote,450.0
2022-01-04,kapris,15.0
2022-01-04,linguini,300.0
2022-01-04,mixsallad,60.0
2022-01-04,morot,15.0
2022-01-04,oxfile,120.0
2022-01-04,paprika_grön,15.0
2022-01-04,pepparsås,90.0
2022-01-04,pizzabotten,750.0
2022-01-04,pommes_frites,540.0
2022-01-04,riven_ost,300.0
2022-01-04,rödlök,180.0
2022-01-04,rödvinssås,120.0
2022-01-04,ströbröd,180.0
2022-01-04,tomat,180.0
2022-01-04,tomatsås,300.0
2022-01-04,vetemjöl,45.0
2022-01-04,zucchini,15.0
2022-01-04,ägg,180.0
2022-01-05,aioli,120.0
2022-01-05,bacon,20.0
2022-01-05,baguette,150.0
2022-01-05,bearnaisesås,105.0
2022-01-05,champinjoner,40.0
2022-01-05,cheddar,15.0
2022-01-05,coleslaw,80.0
2022-01-05,hamburgarbröd,50.0
2022-01-05,hamburgardressing,30.0
2022-01-05,högrev,100.0
2022-01-05,inlagd_gurka,20.0
2022-01-05,kalventrecote,450.0
2022-01-05,kapris,15.0
2022-01-05,kycklingvingar,150.0
2022-01-05,mixsallad,60.0
2022-01-05,pizzabotten,250.0
2022-01-05,pommes_frites,940.0
2022-01-05,riven_ost,140.0
2022-01-05,rödlök,90.0
2022-01-05,rödvinssås,120.0
2022-01-05,skinka,45.0
2022-01-05,ströbröd,180.0
2022-01-05,tomat,80.0
2022-01-05,tomatsås,100.0
2022-01-05,vetemjöl,45.0
2022-01-05,vitlökssmör,30.0
2022-01-05,ägg,180.0
2022-01-06,aioli,720.0
2022-01-06,bacon,300.0
2022-01-06,baguette,100.0
2022-01-06,balsamico,5.0
2022-01-06,barn_hamburgare,90.0
2022-01-06,bearnaisesås,420.0
2022-01-06,blomkål,255.0
2022-01-06,bröd,80.0
2022-01-06,caesardressing,40.0
2022-01-06,champinjoner,240.0
2022-01-06,cheddar,210.0
2022-01-06,coleslaw,560.0
2022-01-06,entrecote,960.0
2022-01-06,fläskfile,1680.0
2022-01-06,grädde,30.0
2022-01-06,hamburgarbröd,750.0
2022-01-06,hamburgardressing,420.0
2022-01-06,högrev,1400.0
2022-01-06,inlagd_gurka,280.0
2022-01-06,jalapeno,140.0
2022-01-06,krutonger,30.0
2022-01-06,kyckling,300.0
2022-01-06,köttfärs,60.0
2022-01-06,linguini,1500.0
2022-01-06,mixsallad,20.0
2022-01-06,morot,255.0
2022-01-06,mozarella,20.0
2022-01-06,nacho_chips,80.0
2022-01-06,oxfile,240.0
2022-01-06,pannkakor,130.0
2022-01-06,paprika_grön,255.0
2022-01-06,pepparsås,450.0
2022-01-06,pizzabotten,1500.0
2022-01-06,pommes_frites,5170.0
2022-01-06,riven_ost,700.0
2022-01-06,romansallad,90.0
2022-01-06,rödlök,700.0
2022-01-06,rödvinssås,480.0
2022-01-06,tomat,560.0
2022-01-06,tomatsås,600.0
2022-01-06,vaniljglass,50.0
2022-01-06,vitlökssmör,30.0
2022-01-06,zucchini,255.0
2022-01-07,aioli,400.0
2022-01-07,bacon,100.0
2022-01-07,barn_hamburgare,90.0
2022-01-07,bearnaisesås,280.0
2022-01-07,blomkål,135.0
2022-01-07,blåbär,45.0
2022-01-07,bröd,160.0
2022-01-07,champinjoner,40.0
2022-01-07,cheddar,75.0
2022-01-07,chokladkaka,80.0
2022-01-07,chokladsås,90.0
2022-01-07,citron,30.0
2022-01-07,coleslaw,200.0
2022-01-07,entrecote,240.0
2022-01-07,fisk,630.0
2022-01-07,fläskfile,1040.0
2022-01-07,grädde,120.0
2022-01-07,hamburgarbröd,300.0
2022-01-07,hamburgardressing,150.0
2022-01-07,högrev,500.0
2022-01-07,inlagd_gurka,100.0
2022-01-07,jalapeno,20.0
2022-01-07,kalventrecote,300.0
2022-01-07,kapris,10.0
2022-01-07,kyckling,300.0
2022-01-07,lakritsglass,70.0
2022-01-07,linguini,900.0
2022-01-07,mixsallad,80.0
2022-01-07,morot,135.0
2022-01-07,oxfile,40.0
2022-01-07,pannkakor,260.0
2022-01-07,paprika_grön,135.0
2022-01-07,pepparsås,270.0
2022-01-07,pizzabotten,250.0
2022-01-07,pommes_frites,3550.0
2022-01-07,remouladsås,210.0
2022-01-07,riven_ost,100.0
2022-01-07,rödlök,270.0
2022-01-07,rödvinssås,320.0
2022-01-07,ströbröd,120.0
2022-01-07,tomat,220.0
2022-01-07,tomatsås,100.0
2022-01-07,vaniljglass,400.0
2022-01-07,vetemjöl,30.0
2022-01-07,zucchini,135.0
2022-01-07,ägg,120.0
2022-01-08,aioli,480.0
2022-01-08,bacon,100.0
2022-01-08,baguette,600.0
2022-01-08,balsamico,10.0
2022-01-08,bearnaisesås,455.0
2022-01-08,blomkål,270.0
2022-01-08,bröd,80.0
2022-01-08,caesardressing,80.0
2022-01-08,champinjoner,240.0
2022-01-08,cheddar,45.0
2022-01-08,chili,5.0
2022-01-08,coleslaw,280.0
2022-01-08,entrecote,960.0
2022-01-08,fläskfile,1600.0
2022-01-08,halkidiki_oliver,135.0
2022-01-08,halloumi,100.0
2022-01-08,hamburgarbröd,200.0
2022-01-08,hamburgardressing,90.0
2022-01-08,högrev,300.0
2022-01-08,inlagd_gurka,80.0
2022-01-08,jalapeno,100.0
2022-01-08,kalamata_oliver,135.0
2022-01-08,kalventrecote,450.0
2022-01-08,kapris,15.0
2022-01-08,krutonger,60.0
2022-01-08,kyckling,450.0
2022-01-08,kycklingvingar,450.0
2022-01-08,linguini,2700.0
2022-01-08,mixsallad,80.0
2022-01-08,morot,270.0
2022-01-08,mozarella,40.0
2022-01-08,oxfile,200.0
2022-01-08,paprika_grön,270.0
2022-01-08,pepparsås,720.0
2022-01-08,pesto,30.0
2022-01-08,pizzabotten,1250.0
2022-01-08,pommes_frites,3240.0
2022-01-08,riven_ost,620.0
2022-01-08,romansallad,180.0
2022-01-08,rödlök,440.0
2022-01-08,rödvinssås,520.0
2022-01-08,soltorkade_tomater,30.0
2022-01-08,srirachadressing,30.0
2022-01-08,stekolja,10.0
2022-01-08,ströbröd,180.0
2022-01-08,tomat,400.0
2022-01-08,tomatsås,500.0
2022-01-08,vetemjöl,45.0
2022-01-08,vitlök,5.0
2022-01-08,vitlökssmör,90.0
2022-01-08,zucchini,270.0
2022-01-08,ägg,180.0
2022-01-09,aioli,280.0
2022-01-09,bacon,120.0
2022-01-09,baguette,100.0
2022-01-09,barn_hamburgare,90.0
2022-01-09,bearnaisesås,140.0
2022-01-09,blomkål,75.0
2022-01-09,champinjoner,40.0
2022-01-09,cheddar,90.0
2022-01-09,citron,10.0
2022-01-09,coleslaw,280.0
2022-01-09,entrecote,240.0
2022-01-09,fisk,210.0
2022-01-09,fläskfile,400.0
2022-01-09,halloumi,100.0
2022-01-09,hamburgarbröd,400.0
2022-01-09,hamburgardressing,180.0
2022-01-09,högrev,600.0
2022-01-09,inlagd_gurka,140.0
2022-01-09,kalventrecote,300.0
2022-01-09,kapris,10.0
2022-01-09,linguini,900.0
2022-01-09,mixsallad,40.0
2022-01-09,morot,75.0
2022-01-09,paprika_grön,75.0
2022-01-09,pepparsås,270.0
2022-01-09,pizzabotten,250.0
2022-01-09,pommes_frites,2250.0
2022-01-09,remouladsås,70.0
2022-01-09,riven_ost,140.0
2022-01-09,rödlök,250.0
2022-01-09,rödvinssås,160.0
2022-01-09,skinka,45.0
2022-01-09,srirachadressing,30.0
2022-01-09,ströbröd,120.0
2022-01-09,tomat,180.0
2022-01-09,tomatsås,100.0
2022-01-09,vetemjöl,30.0
2022-01-09,vitlökssmör,30.0
2022-01-09,zucchini,75.0
2022-01-09,ägg,120.0
2022-01-11,baguette,100.0
2022-01-11,bearnaisesås,35.0
2022-01-11,blomkål,15.0
2022-01-11,champinjoner,120.0
2022-01-11,fläskfile,160.0
2022-01-11,jalapeno,60.0
2022-01-11,morot,15.0
2022-01-11,oxfile,120.0
2022-01-11,paprika_grön,15.0
2022-01-11,pizzabotten,750.0
2022-01-11,pommes_frites,180.0
2022-01-11,riven_ost,340.0
2022-01-11,rödlök,120.0
2022-01-11,rödvinssås,40.0
2022-01-11,tomat,120.0
2022-01-11,tomatsås,300.0
2022-01-11,vitlökssmör,30.0
2022-01-11,zucchini,15.0
2022-01-12,champinjoner,40.0
2022-01-12,jalapeno,20.0
2022-01-12,oxfile,40.0
2022-01-12,pizzabotten,250.0
2022-01-12,riven_ost,100.0
2022-01-12,rödlök,40.0
2022-01-12,tomat,40.0
2022-01-12,tomatsås,100.0
2022-01-13,aioli,40.0
2022-01-13,bacon,20.0
2022-01-13,bearnaisesås,35.0
2022-01-13,blomkål,15.0
2022-01-13,blåbär,15.0
2022-01-13,champinjoner,120.0
2022-01-13,cheddar,15.0
2022-01-13,chokladsås,30.0
2022-01-13,citron,0.0
2022-01-13,coleslaw,40.0
2022-01-13,entrecote,240.0
2022-01-13,fisk,0.0
2022-01-13,fläskfile,0.0
2022-01-13,grädde,30.0
2022-01-13,hamburgarbröd,50.0
2022-01-13,hamburgardressing,30.0
2022-01-13,högrev,100.0
2022-01-13,inlagd_gurka,20.0
2022-01-13,jalapeno,60.0
2022-01-13,morot,15.0
2022-01-13,oxfile,120.0
2022-01-13,paprika_grön,15.0
2022-01-13,pizzabotten,750.0
2022-01-13,pommes_frites,360.0
2022-01-13,remouladsås,0.0
2022-01-13,riven_ost,300.0
2022-01-13,rödlök,150.0
2022-01-13,rödvinssås,40.0
2022-01-13,tomat,140.0
2022-01-13,tomatsås,300.0
2022-01-13,vaniljglass,150.0
2022-01-13,zucchini,15.0
2022-01-14,bearnaisesås,70.0
2022-01-14,blomkål,30.0
2022-01-14,entrecote,480.0
2022-01-14,morot,30.0
2022-01-14,paprika_grön,30.0
2022-01-14,pommes_frites,360.0
2022-01-14,rödvinssås,80.0
2022-01-14,zucchini,30.0
2022-01-15,bearnaisesås,70.0
2022-01-15,blomkål,30.0
2022-01-15,entrecote,480.0
2022-01-15,morot,30.0
2022-01-15,paprika_grön,30.0
2022-01-15,pommes_frites,360.0
2022-01-15,rödvinssås,80.0
2022-01-15,zucchini,30.0
2022-01-16,aioli,480.0
2022-01-16,bacon,100.0
2022-01-16,baguette,350.0
2022-01-16,barn_hamburgare,90.0
2022-01-16,bearnaisesås,245.0
2022-01-16,blomkål,135.0
2022-01-16,bröd,80.0
2022-01-16,champinjoner,40.0
2022-01-16,cheddar,75.0
2022-01-16,coleslaw,200.0
2022-01-16,entrecote,1680.0
2022-01-16,fläskfile,160.0
2022-01-16,halkidiki_oliver,45.0
2022-01-16,hamburgarbröd,300.0
2022-01-16,hamburgardressing,150.0
2022-01-16,högrev,500.0
2022-01-16,inlagd_gurka,100.0
2022-01-16,jalapeno,60.0
2022-01-16,kalamata_oliver,45.0
2022-01-16,kyckling,150.0
2022-01-16,köttfärs,120.0
2022-01-16,linguini,600.0
2022-01-16,mixsallad,20.0
2022-01-16,morot,135.0
2022-01-16,nacho_chips,160.0
2022-01-16,oxfile,40.0
2022-01-16,paprika_grön,135.0
2022-01-16,pepparsås,180.0
2022-01-16,pizzabotten,250.0
2022-01-16,pommes_frites,2870.0
2022-01-16,riven_ost,340.0
2022-01-16,rödlök,210.0
2022-01-16,rödvinssås,280.0
2022-01-16,tomat,160.0
2022-01-16,tomatsås,100.0
2022-01-16,vitlökssmör,90.0
2022-01-16,zucchini,135.0
2022-01-17,aioli,160.0
2022-01-17,bacon,100.0
2022-01-17,balsamico,5.0
2022-01-17,bearnaisesås,140.0
2022-01-17,blomkål,75.0
2022-01-17,caesardressing,40.0
2022-01-17,champinjoner,40.0
2022-01-17,cheddar,60.0
2022-01-17,coleslaw,160.0
2022-01-17,entrecote,480.0
2022-01-17,fläskfile,320.0
2022-01-17,hamburgarbröd,200.0
2022-01-17,hamburgardressing,120.0
2022-01-17,högrev,400.0
2022-01-17,inlagd_gurka,80.0
2022-01-17,jalapeno,0.0
2022-01-17,kalventrecote,150.0
2022-01-17,kapris,5.0
2022-01-17,krutonger,30.0
2022-01-17,kyckling,150.0
2022-01-17,köttfärs,0.0
2022-01-17,linguini,600.0
2022-01-17,mixsallad,20.0
2022-01-17,morot,75.0
2022-01-17,mozarella,20.0
2022-01-17,nacho_chips,0.0
2022-01-17,paprika_grön,75.0
2022-01-17,pepparsås,180.0
2022-01-17,pizzabotten,250.0
2022-01-17,pommes_frites,1440.0
2022-01-17,riven_ost,100.0
2022-01-17,romansallad,90.0
2022-01-17,rödlök,160.0
2022-01-17,rödvinssås,160.0
2022-01-17,skinka,45.0
2022-01-17,ströbröd,60.0
2022-01-17,tomat,120.0
2022-01-17,tomatsås,100.0
2022-01-17,vetemjöl,15.0
2022-01-17,zucchini,75.0
2022-01-17,ägg,60.0
2022-01-18,aioli,40.0
2022-01-18,blomkål,30.0
2022-01-18,fläskfile,160.0
2022-01-18,linguini,600.0
2022-01-18,morot,30.0
2022-01-18,paprika_grön,30.0
2022-01-18,pepparsås,180.0
2022-01-18,pommes_frites,220.0
2022-01-18,zucchini,30.0
2022-01-19,aioli,80.0
2022-01-19,bacon,40.0
2022-01-19,balsamico,0.0
2022-01-19,bearnaisesås,140.0
2022-01-19,blomkål,30.0
2022-01-19,caesardressing,0.0
2022-01-19,champinjoner,40.0
2022-01-19,cheddar,30.0
2022-01-19,coleslaw,80.0
2022-01-19,fläskfile,320.0
2022-01-19,hamburgarbröd,100.0
2022-01-19,hamburgardressing,60.0
2022-01-19,högrev,200.0
2022-01-19,inlagd_gurka,40.0
2022-01-19,jalapeno,20.0
2022-01-19,kalventrecote,300.0
2022-01-19,kapris,10.0
2022-01-19,krutonger,0.0
2022-01-19,kyckling,0.0
2022-01-19,mixsallad,40.0
2022-01-19,morot,30.0
2022-01-19,mozarella,0.0
2022-01-19,oxfile,40.0
2022-01-19,paprika_grön,30.0
2022-01-19,pizzabotten,250.0
2022-01-19,pommes_frites,1080.0
2022-01-19,riven_ost,100.0
2022-01-19,romansallad,0.0
2022-01-19,rödlök,140.0
2022-01-19,rödvinssås,160.0
2022-01-19,ströbröd,120.0
2022-01-19,tomat,120.0
2022-01-19,tomatsås,100.0
2022-01-19,vetemjöl,30.0
2022-01-19,zucchini,30.0
2022-01-19,ägg,120.0
2022-01-20,bearnaisesås,35.0
2022-01-20,blomkål,30.0
2022-01-20,fläskfile,240.0
2022-01-20,linguini,300.0
2022-01-20,morot,30.0
2022-01-20,paprika_grön,30.0
2022-01-20,pepparsås,90.0
2022-01-20,pommes_frites,180.0
2022-01-20,rödvinssås,40.0
2022-01-20,zucchini,30.0
2022-01-21,aioli,80.0
2022-01-21,bacon,20.0
2022-01-21,baguette,50.0
2022-01-21,balsamico,5.0
2022-01-21,bearnaisesås,0.0
2022-01-21,blomkål,0.0
2022-01-21,caesardressing,40.0
2022-01-21,champinjoner,80.0
2022-01-21,coleslaw,40.0
2022-01-21,fläskfile,0.0
2022-01-21,krutonger,30.0
2022-01-21,kyckling,150.0
2022-01-21,kycklingvingar,150.0
2022-01-21,morot,0.0
2022-01-21,mozarella,20.0
2022-01-21,paprika_grön,0.0
2022-01-21,pizzabotten,500.0
2022-01-21,pommes_frites,220.0
2022-01-21,riven_ost,200.0
2022-01-21,romansallad,90.0
2022-01-21,rödlök,20.0
2022-01-21,rödvinssås,0.0
2022-01-21,skinka,90.0
2022-01-21,tomat,20.0
2022-01-21,tomatsås,200.0
2022-01-21,zucchini,0.0
2022-01-22,aioli,1560.0
2022-01-22,bacon,780.0
2022-01-22,baguette,100.0
2022-01-22,bearnaisesås,70.0
2022-01-22,blomkål,285.0
2022-01-22,champinjoner,0.0
2022-01-22,cheddar,585.0
2022-01-22,chili,0.0
2022-01-22,coleslaw,1560.0
2022-01-22,entrecote,240.0
2022-01-22,fläskfile,1440.0
2022-01-22,hamburgarbröd,1950.0
2022-01-22,hamburgardressing,1170.0
2022-01-22,högrev,3900.0
2022-01-22,inlagd_gurka,780.0
2022-01-22,kalventrecote,150.0
2022-01-22,kapris,5.0
2022-01-22,linguini,5400.0
2022-01-22,mixsallad,20.0
2022-01-22,morot,285.0
2022-01-22,paprika_grön,285.0
2022-01-22,pepparsås,1620.0
2022-01-22,pesto,0.0
2022-01-22,pommes_frites,7380.0
2022-01-22,riven_ost,40.0
2022-01-22,rödlök,1190.0
2022-01-22,rödvinssås,80.0
2022-01-22,soltorkade_tomater,0.0
2022-01-22,stekolja,0.0
2022-01-22,ströbröd,60.0
2022-01-22,tomat,800.0
2022-01-22,vetemjöl,15.0
2022-01-22,vitlök,0.0
2022-01-22,vitlökssmör,30.0
2022-01-22,zucchini,285.0
2022-01-22,ägg,60.0
2022-01-23,aioli,480.0
2022-01-23,bacon,160.0
2022-01-23,barn_hamburgare,360.0
2022-01-23,bearnaisesås,770.0
2022-01-23,blomkål,270.0
2022-01-23,blåbär,45.0
2022-01-23,champinjoner,280.0
2022-01-23,cheddar,120.0
2022-01-23,chokladsås,90.0
2022-01-23,citron,70.0
2022-01-23,coleslaw,320.0
2022-01-23,entrecote,3120.0
2022-01-23,fisk,1470.0
2022-01-23,fläskfile,640.0
2022-01-23,grädde,90.0
2022-01-23,hamburgarbröd,600.0
2022-01-23,hamburgardressing,240.0
2022-01-23,högrev,800.0
2022-01-23,inlagd_gurka,160.0
2022-01-23,jalapeno,100.0
2022-01-23,kalventrecote,900.0
2022-01-23,kapris,30.0
2022-01-23,linguini,600.0
2022-01-23,mixsallad,120.0
2022-01-23,morot,270.0
2022-01-23,oxfile,200.0
2022-01-23,paprika_grön,270.0
2022-01-23,pepparsås,180.0
2022-01-23,pizzabotten,1750.0
2022-01-23,pommes_frites,7900.0
2022-01-23,remouladsås,490.0
2022-01-23,riven_ost,700.0
2022-01-23,rödlök,560.0
2022-01-23,rödvinssås,880.0
2022-01-23,skinka,90.0
2022-01-23,ströbröd,360.0
2022-01-23,tomat,480.0
2022-01-23,tomatsås,700.0
2022-01-23,vaniljglass,450.0
2022-01-23,vetemjöl,90.0
2022-01-23,zucchini,270.0
2022-01-23,ägg,360.0
2022-01-24,aioli,120.0
2022-01-24,bacon,60.0
2022-01-24,balsamico,5.0
2022-01-24,bearnaisesås,245.0
2022-01-24,blomkål,90.0
2022-01-24,caesardressing,40.0
2022-01-24,cheddar,30.0
2022-01-24,citron,20.0
2022-01-24,coleslaw,80.0
2022-01-24,entrecote,480.0
2022-01-24,fisk,420.0
2022-01-24,fläskfile,480.0
2022-01-24,hamburgarbröd,100.0
2022-01-24,hamburgardressing,60.0
2022-01-24,högrev,200.0
2022-01-24,inlagd_gurka,40.0
2022-01-24,kalventrecote,450.0
2022-01-24,kapris,15.0
2022-01-24,krutonger,30.0
2022-01-24,kyckling,150.0
2022-01-24,linguini,600.0
2022-01-24,mixsallad,60.0
2022-01-24,morot,90.0
2022-01-24,mozarella,20.0
2022-01-24,paprika_grön,90.0
2022-01-24,pepparsås,180.0
2022-01-24,pommes_frites,2200.0
2022-01-24,remouladsås,140.0
2022-01-24,romansallad,90.0
2022-01-24,rödlök,140.0
2022-01-24,rödvinssås,280.0
2022-01-24,ströbröd,180.0
2022-01-24,tomat,120.0
2022-01-24,vetemjöl,45.0
2022-01-24,zucchini,90.0
2022-01-24,ägg,180.0
2022-01-25,bearnaisesås,35.0
2022-01-25,blomkål,15.0
2022-01-25,champinjoner,40.0
2022-01-25,citron,10.0
2022-01-25,fisk,210.0
2022-01-25,fläskfile,160.0
2022-01-25,jalapeno,20.0
2022-01-25,morot,15.0
2022-01-25,oxfile,40.0
2022-01-25,paprika_grön,15.0
2022-01-25,pizzabotten,250.0
2022-01-25,pommes_frites,360.0
2022-01-25,remouladsås,70.0
2022-01-25,riven_ost,100.0
2022-01-25,rödlök,40.0
2022-01-25,rödvinssås,40.0
2022-01-25,tomat,40.0
2022-01-25,tomatsås,100.0
2022-01-25,zucchini,15.0
2022-01-26,aioli,120.0
2022-01-26,bacon,60.0
2022-01-26,blomkål,30.0
2022-01-26,cheddar,45.0
2022-01-26,coleslaw,120.0
2022-01-26,fläskfile,160.0
2022-01-26,hamburgarbröd,150.0
2022-01-26,hamburgardressing,90.0
2022-01-26,högrev,300.0
2022-01-26,inlagd_gurka,60.0
2022-01-26,linguini,600.0
2022-01-26,morot,30.0
2022-01-26,paprika_grön,30.0
2022-01-26,pepparsås,180.0
2022-01-26,pommes_frites,540.0
2022-01-26,rödlök,90.0
2022-01-26,tomat,60.0
2022-01-26,zucchini,30.0
2022-01-27,aioli,200.0
2022-01-27,barn_hamburgare,90.0
2022-01-27,bearnaisesås,175.0
2022-01-27,blomkål,75.0
2022-01-27,blåbär,45.0
2022-01-27,bröd,160.0
2022-01-27,chokladsås,90.0
2022-01-27,citron,10.0
2022-01-27,coleslaw,40.0
2022-01-27,entrecote,960.0
2022-01-27,fisk,210.0
2022-01-27,fläskfile,160.0
2022-01-27,grädde,90.0
2022-01-27,halloumi,100.0
2022-01-27,hamburgarbröd,100.0
2022-01-27,inlagd_gurka,20.0
2022-01-27,kyckling,300.0
2022-01-27,mixsallad,40.0
2022-01-27,morot,75.0
2022-01-27,paprika_grön,75.0
2022-01-27,pommes_frites,1710.0
2022-01-27,remouladsås,70.0
2022-01-27,rödlök,70.0
2022-01-27,rödvinssås,200.0
2022-01-27,srirachadressing,30.0
2022-01-27,tomat,60.0
2022-01-27,vaniljglass,450.0
2022-01-27,zucchini,75.0
2022-01-28,aioli,40.0
2022-01-28,bacon,60.0
2022-01-28,balsamico,10.0
2022-01-28,bearnaisesås,70.0
2022-01-28,blomkål,30.0
2022-01-28,caesardressing,80.0
2022-01-28,cheddar,15.0
2022-01-28,coleslaw,40.0
2022-01-28,entrecote,480.0
2022-01-28,hamburgarbröd,50.0
2022-01-28,hamburgardressing,30.0
2022-01-28,högrev,100.0
2022-01-28,inlagd_gurka,20.0
2022-01-28,krutonger,60.0
2022-01-28,kyckling,300.0
2022-01-28,morot,30.0
2022-01-28,mozarella,40.0
2022-01-28,paprika_grön,30.0
2022-01-28,pommes_frites,540.0
2022-01-28,romansallad,180.0
2022-01-28,rödlök,70.0
2022-01-28,rödvinssås,80.0
2022-01-28,tomat,60.0
2022-01-28,zucchini,30.0
2022-01-29,aioli,1880.0
2022-01-29,bacon,800.0
2022-01-29,baguette,300.0
2022-01-29,balsamico,20.0
2022-01-29,bearnaisesås,210.0
2022-01-29,blomkål,285.0
2022-01-29,blåbär,15.0
2022-01-29,bröd,240.0
2022-01-29,caesardressing,160.0
2022-01-29,champinjoner,80.0
2022-01-29,cheddar,540.0
2022-01-29,chokladkaka,80.0
2022-01-29,chokladsås,30.0
2022-01-29,coleslaw,1600.0
2022-01-29,entrecote,480.0
2022-01-29,fläskfile,1440.0
2022-01-29,halloumi,200.0
2022-01-29,hamburgarbröd,1900.0
2022-01-29,hamburgardressing,1080.0
2022-01-29,högrev,3600.0
2022-01-29,inlagd_gurka,760.0
2022-01-29,jalapeno,20.0
2022-01-29,kalventrecote,450.0
2022-01-29,kapris,15.0
2022-01-29,krutonger,120.0
2022-01-29,kyckling,1050.0
2022-01-29,kycklingvingar,300.0
2022-01-29,lakritsglass,70.0
2022-01-29,linguini,4800.0
2022-01-29,mixsallad,120.0
2022-01-29,morot,285.0
2022-01-29,mozarella,80.0
2022-01-29,oxfile,40.0
2022-01-29,paprika_grön,285.0
2022-01-29,pepparsås,1440.0
2022-01-29,pizzabotten,500.0
2022-01-29,pommes_frites,8680.0
2022-01-29,riven_ost,280.0
2022-01-29,romansallad,360.0
2022-01-29,rödlök,1380.0
2022-01-29,rödvinssås,240.0
2022-01-29,skinka,45.0
2022-01-29,srirachadressing,60.0
2022-01-29,ströbröd,180.0
2022-01-29,tomat,1000.0
2022-01-29,tomatsås,200.0
2022-01-29,vetemjöl,45.0
2022-01-29,vitlökssmör,60.0
2022-01-29,zucchini,285.0
2022-01-29,ägg,180.0
2022-01-30,aioli,520.0
2022-01-30,bacon,80.0
2022-01-30,baguette,450.0
2022-01-30,balsamico,5.0
2022-01-30,barn_hamburgare,90.0
2022-01-30,bearnaisesås,735.0
2022-01-30,blomkål,315.0
2022-01-30,bröd,80.0
2022-01-30,caesardressing,40.0
2022-01-30,champinjoner,0.0
