Datum;temp;weather_main
2022-10-31 14:00:00 +0000 UTC;11.92;Clouds
2022-11-01 14:00:00 +0000 UTC;12.11;Rain
2022-11-02 14:00:00 +0000 UTC;11.15;Clouds
2022-11-03 14:00:00 +0000 UTC;11.74;Clouds
2022-11-04 14:00:00 +0000 UTC;10.16;Rain
2022-11-05 14:00:00 +0000 UTC;9.99;Rain
2022-11-06 14:00:00 +0000 UTC;11.49;Clouds
2022-11-07 14:00:00 +0000 UTC;10.65;Rain
2022-11-08 14:00:00 +0000 UTC;12.14;Clouds
2022-11-09 14:00:00 +0000 UTC;12.1;Clouds
2022-11-10 14:00:00 +0000 UTC;11.08;Rain
2022-11-11 14:00:00 +0000 UTC;12.87;Clouds
2022-11-12 14:00:00 +0000 UTC;12.61;Clouds
2022-11-13 14:00:00 +0000 UTC;11.11;Clouds
2022-11-14 14:00:00 +0000 UTC;8.86;Clouds
2022-11-15 14:00:00 +0000 UTC;8.74;Rain
2022-11-16 14:00:00 +0000 UTC;6.98;Clouds
2022-11-17 14:00:00 +0000 UTC;4.73;Clouds
2022-11-18 14:00:00 +0000 UTC;3.72;Clouds
2022-11-19 14:00:00 +0000 UTC;1.73;Clouds
2022-11-20 14:00:00 +0000 UTC;0.44;Clouds
2022-11-21 14:00:00 +0000 UTC;-1.32;Clouds
2022-11-22 14:00:00 +0000 UTC;1.08;Clouds
2022-11-23 14:00:00 +0000 UTC;3.96;Clouds
2022-11-24 14:00:00 +0000 UTC;5.44;Clouds
2022-11-25 14:00:00 +0000 UTC;4.38;Clouds
2022-11-26 14:00:00 +0000 UTC;6.06;Clouds
2022-11-27 14:00:00 +0000 UTC;6.34;Clouds
2022-11-28 14:00:00 +0000 UTC;6.25;Clouds
2022-11-29 14:00:00 +0000 UTC;4.56;Clouds
2022-11-30 14:00:00 +0000 UTC;2.29;Clouds
2022-12-01 14:00:00 +0000 UTC;2.82;Clouds
2022-12-02 14:00:00 +0000 UTC;2.45;Clouds
2022-12-03 14:00:00 +0000 UTC;-0.37;Clouds
2022-12-04 14:00:00 +0000 UTC;0.47;Clouds
2022-12-05 14:00:00 +0000 UTC;1.27;Clouds
2022-12-06 14:00:00 +0000 UTC;-1.7;Clouds
2022-12-07 14:00:00 +0000 UTC;-1.66;Clouds
2022-12-08 14:00:00 +0000 UTC;1.1;Clouds
2022-12-09 14:00:00 +0000 UTC;-1.78;Clouds
2022-12-10 14:00:00 +0000 UTC;-4.03;Clouds
2022-12-11 14:00:00 +0000 UTC;-5.42;Clouds
2022-12-12 14:00:00 +0000 UTC;-4.36;Clouds
2022-12-13 14:00:00 +0000 UTC;-6.81;Clouds
2022-12-14 14:00:00 +0000 UTC;-2.6;Clouds
2022-12-15 14:00:00 +0000 UTC;-5.19;Clear
2022-12-16 14:00:00 +0000 UTC;-5.03;Clouds
2022-12-17 14:00:00 +0000 UTC;1.45;Clouds
2022-12-18 14:00:00 +0000 UTC;3.23;Clouds
2022-12-19 14:00:00 +0000 UTC;0.44;Snow
2022-12-20 14:00:00 +0000 UTC;5.48;Rain
2022-12-21 14:00:00 +0000 UTC;4.71;Clouds
2022-12-22 14:00:00 +0000 UTC;5.39;Rain
2022-12-23 14:00:00 +0000 UTC;-0.66;Clouds
2022-12-24 14:00:00 +0000 UTC;-2.47;Clouds
2022-12-25 14:00:00 +0000 UTC;2.9;Rain
2022-12-26 14:00:00 +0000 UTC;4.32;Rain
2022-12-27 14:00:00 +0000 UTC;3.39;Clouds
2022-12-28 14:00:00 +0000 UTC;5.28;Rain
2022-12-29 14:00:00 +0000 UTC;5.95;Rain
2022-12-30 14:00:00 +0000 UTC;3.93;Clouds
2022-12-31 14:00:00 +0000 UTC;6.41;Rain
